cutter,cut,peak_hz,freq_error_pct,valid_cycles,median_period_samples,period_cv,random_phase_shift_samples
C1,1,172.6844583987441,0.37435092380147894,220,287.0,0.023499138604720266,129
C1,23,173.95019531249997,0.3558819110576704,378,288.0,0.00631424016169676,35
C1,46,173.95019531249997,0.3558819110576704,379,288.0,0.005932850737418224,155
C1,68,173.95019531249997,0.3558819110576704,379,288.0,0.006117730217666452,247
C1,91,173.95019531249997,0.3558819110576704,379,288.0,0.006066901450238436,15
C1,113,173.95019531249997,0.3558819110576704,380,288.0,0.0042118771892019355,40
C1,136,173.95019531249997,0.3558819110576704,380,288.0,0.010909218132026095,249
C1,158,173.95019531249997,0.3558819110576704,381,288.0,0.010487428848516661,142
C1,180,173.95019531249997,0.3558819110576704,380,288.0,0.00907885318174551,172
C1,203,173.95019531249997,0.3558819110576704,380,288.0,0.009884779969506284,217
C1,225,173.95019531249997,0.3558819110576704,381,288.0,0.013987528702750775,18
C1,248,173.95019531249997,0.3558819110576704,380,288.0,0.013598055433061905,282
C1,270,173.95019531249997,0.3558819110576704,380,288.0,0.012278948901849692,217
C1,293,173.95019531249997,0.3558819110576704,380,288.0,0.011764224506797741,239
C1,315,173.95019531249997,0.3558819110576704,436,288.0,0.011559505334184591,232
C4,1,173.95019531249997,0.3558819110576704,287,288.0,0.014621929920650633,180
C4,23,173.95019531249997,0.3558819110576704,387,288.0,0.005686424128997968,150
C4,46,173.95019531249997,0.3558819110576704,386,288.0,0.007509410732104902,247
C4,68,173.95019531249997,0.3558819110576704,387,288.0,0.008996295380002404,262
C4,91,173.95019531249997,0.3558819110576704,387,288.0,0.005571906165354236,119
C4,113,173.95019531249997,0.3558819110576704,394,288.0,0.006242162979467227,273
C4,136,173.95019531249997,0.3558819110576704,387,288.0,0.0038365645514752463,177
C4,158,173.95019531249997,0.3558819110576704,387,288.0,0.007296296989197274,206
C4,180,173.95019531249997,0.3558819110576704,387,288.0,0.008594712891116817,28
C4,203,173.95019531249997,0.3558819110576704,385,288.0,0.008362508082479141,19
C4,225,173.95019531249997,0.3558819110576704,392,288.0,0.009055593943536404,276
C4,248,173.95019531249997,0.3558819110576704,386,288.0,0.008172079150598149,171
C4,270,173.95019531249997,0.3558819110576704,386,288.0,0.012639388442614707,116
C4,293,173.95019531249997,0.3558819110576704,396,288.0,0.007353397769137631,254
C4,315,173.95019531249997,0.3558819110576704,385,288.0,0.009663739171710954,58
C6,1,173.95019531249997,0.3558819110576704,332,287.0,0.01879962576656975,225
C6,23,173.95019531249997,0.3558819110576704,379,288.0,0.005450989356542016,38
C6,46,173.95019531249997,0.3558819110576704,380,288.0,0.009785844291542611,26
C6,68,173.95019531249997,0.3558819110576704,380,288.0,0.004990242725375035,139
C6,91,173.95019531249997,0.3558819110576704,380,288.0,0.008342109247929254,19
C6,113,173.95019531249997,0.3558819110576704,380,288.0,0.006833113101711243,32
C6,136,173.95019531249997,0.3558819110576704,382,288.0,0.006680419111841701,52
C6,158,173.95019531249997,0.3558819110576704,379,288.0,0.004572511606242937,157
C6,180,173.95019531249997,0.3558819110576704,381,288.0,0.008285972468531341,84
C6,203,173.95019531249997,0.3558819110576704,380,288.0,0.008369717131751683,156
C6,225,173.95019531249997,0.3558819110576704,380,288.0,0.010744919663732902,67
C6,248,173.95019531249997,0.3558819110576704,380,288.0,0.006470168629196052,266
C6,270,173.95019531249997,0.3558819110576704,380,288.0,0.010425868921525144,149
C6,293,173.95019531249997,0.3558819110576704,380,288.0,0.007904986826919728,12
C6,315,173.95019531249997,0.3558819110576704,378,288.0,0.010672772220796234,263
