cutter,cut,rows,coordinate,expected_hz,channel,peak_hz,freq_error_pct,spectral_prominence,phase_positive_ratio,cycle_period_samples,cycle_length_cv,phase_frequency_hz,n_cycles
C1,1,127399,spindle,173.33333333333334,Fx,172.6844583987441,0.37435092380147894,186.1888015334105,0.9982574294729901,287.21546961325964,0.013023745531343592,174.08533066594853,219
C1,1,127399,tooth,520.0,Fz,590.2668759811618,13.512860765608034,72.8242516142904,0.9986812979795601,86.8160136286201,0.03673440280962424,575.9306136064835,732
C1,50,219065,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,8162.316205922455,0.9988679004117555,287.8757575757576,0.004476009384177238,173.68603880040843,378
C1,50,219065,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,11578.39094771823,0.9996804557613826,95.99810246679317,0.007358822900905731,520.8436283133364,1139
C1,100,219397,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,6008.104426263412,0.9993618786293152,287.90751445086704,0.0040353964185281055,173.66688082235785,379
C1,100,219397,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,25311.390378394295,0.9997538674713073,95.95911111111111,0.006793687626209146,521.0552642792301,1141
C1,150,219574,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,3379.4204915794608,0.9987885522744248,287.811320754717,0.004479965796058694,173.72492460993837,379
C1,150,219574,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,102203.18498547196,0.9996629807079227,96.0,0.0,520.8333333333334,1142
C1,200,219861,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,13490.698750016329,0.9991358058383139,287.8491124260355,0.0024147720594357848,173.70211628791384,380
C1,200,219861,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,362429.2657857604,0.9998453547289614,96.0,0.0,520.8333333333334,1144
C1,250,219939,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,1901.1605218921,0.9988542225536288,287.8818181818182,0.0058263186443025606,173.68238229071272,381
C1,250,219939,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,725198.041946675,0.9997090089025089,96.0,0.0,520.8333333333334,1146
C1,315,252492,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,8819.783976138055,0.998447463265872,287.8827930174564,0.003991549403734173,173.68179416325222,436
C1,315,252492,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,981136.1895511799,0.9997544457206226,96.0,0.0,520.8333333333334,1314
C4,1,165597,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,1558.9816702123378,0.9986714494486515,287.8414634146341,0.005971612970726379,173.70673219505997,286
C4,1,165597,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,2397.9420255278524,0.9996739012283054,95.94088669950739,0.0073807785718291476,521.1542411172726,861
C4,50,223334,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,1993.5135007132606,0.9993462647538194,287.77742946708463,0.004407478395902759,173.74538403721093,386
C4,50,223334,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,25491.11840396043,0.9996955205702721,95.96299559471366,0.006864003530436264,521.0341724967407,1162
C4,100,223513,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,10572.124304910649,0.9989172743948816,287.87031700288185,0.002523822167060626,173.68932136028272,386
C4,100,223513,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,40202.1462212018,0.9997405037805914,95.93868739205527,0.006237220672274589,521.1661881058894,1166
C4,150,223958,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,8405.474481384941,0.9996695779528122,287.8533724340176,0.0023547374988396037,173.69954563051405,387
C4,150,223958,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,80493.13442471359,0.9998571147904053,96.0,0.0,520.8333333333334,1165
C4,200,223981,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,1453.652907174824,0.9986159354936646,287.9190031152648,0.00633492158584928,173.6599510938954,386
C4,200,223981,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,164979.6548292318,0.9997946226861567,96.0,0.0,520.8333333333334,1165
C4,250,221270,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,2110.4590296957526,0.9990328470452121,287.7307692307692,0.005450582786035013,173.77355968453415,382
C4,250,221270,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,490811.8905848335,0.9996565251188604,96.0,0.0,520.8333333333334,1152
C4,315,223137,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,5476.262990668881,0.9981625391020642,287.79883381924196,0.004140775478114056,173.73246213847946,385
C4,315,223137,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,728169.0345230822,0.9998476251938297,96.0,0.0,520.8333333333334,1164
C6,1,192315,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,323.28561313190664,0.9990744303586843,287.5,0.01134558678947298,173.91304347826087,332
C6,1,192315,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,53.32090617974112,0.9984712501429953,94.2967032967033,0.05901946213500738,530.2412306258012,1012
C6,50,219075,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,2999.724040303255,0.9992240065000867,287.8353293413174,0.004129785494844136,173.7104340680487,379
C6,50,219075,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,34940.351433890384,0.9996987319353278,95.94867256637168,0.006496290665998957,521.111951448968,1139
C6,100,219463,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,6315.230582899077,0.9988699638206159,287.7096774193548,0.003162215914439759,173.78629891243415,379
C6,100,219463,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,53507.43771932707,0.9996810381751738,95.95434591747147,0.005839666207037124,521.0811404311386,1141
C6,150,220308,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,6128.298720645138,0.9987108839523209,287.6384839650146,0.003225102607985504,173.82931279140482,381
C6,150,220308,tooth,520.0,Fz,521.8505859374999,0.3558819110576704,60992.99972237164,0.99980027779543,95.82705314009662,0.003946707264322801,521.7733235196257,1146
C6,200,219619,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,3757.7026149401527,0.998078481727363,287.82018927444796,0.004579590842793325,173.71957167439362,379
C6,200,219619,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,289485.0984237159,0.9996448378548206,96.0,0.0,520.8333333333334,1142
C6,250,219679,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,3499.613846749421,0.999044055390162,287.96485623003196,0.004347684825336314,173.63229893601678,380
C6,250,219679,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,499730.1808878927,0.9998361237811706,96.0,0.0,520.8333333333334,1143
C6,315,218837,spindle,173.33333333333334,Fx,173.95019531249997,0.3558819110576704,6207.510581897877,0.9986747945931619,287.8559077809798,0.0037981934066615617,173.69801573794126,377
C6,315,218837,tooth,520.0,Fx,521.8505859374999,0.3558819110576704,500252.26514284685,0.999698401528099,96.0,0.0,520.8333333333334,1138
